Event: time 1778628387.489723, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 18
Event: time 1778628387.489723, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 31
Event: time 1778628387.748983, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 30
Event: time 1778628388.029803, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 23
Event: time 1778628388.029803, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 33
Event: time 1778628388.278373, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 34
Event: time 1778628388.278373, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 48
Event: time 1778628388.386345, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 51
Event: time 1778628388.559086, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 25
Event: time 1778628388.559086, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 60
Event: time 1778628388.829058, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 17
Event: time 1778628388.829058, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 54
Event: time 1778628389.099121, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 14
Event: time 1778628389.099121, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 52
Event: time 1778628389.379939, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 30
Event: time 1778628389.379939, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 53
Event: time 1778628389.649632, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 42
Event: time 1778628389.649632, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 61
Event: time 1778628389.758089, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 40
Event: time 1778628389.758089, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 62
Event: time 1778628389.930804, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 38
Event: time 1778628389.930804, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 50
Event: time 1778628390.211642, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 30
Event: time 1778628390.211642, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 57
Event: time 1778628390.470866, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 21
Event: time 1778628390.470866, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 37
Event: time 1778628390.740925, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 33
Event: time 1778628390.740925, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 67
Event: time 1778628390.999694, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 35
Event: time 1778628390.999694, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 58
Event: time 1778628391.270143, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 36
Event: time 1778628391.270143, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 64
Event: time 1778628391.540241, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 34
Event: time 1778628391.540241, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 57
Event: time 1778628391.810239, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 42
Event: time 1778628391.810239, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 41
Event: time 1778628391.918232, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 41
Event: time 1778628391.918232, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 43
Event: time 1778628392.091143, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 48
Event: time 1778628392.091143, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 42
Event: time 1778628392.371983, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 43
Event: time 1778628392.371983, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 54
Event: time 1778628392.652842, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 52
Event: time 1778628392.652842, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 49
Event: time 1778628392.912095, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 50
Event: time 1778628392.912095, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 48
Event: time 1778628393.192204, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 46
Event: time 1778628393.192204, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 45
Event: time 1778628393.473803, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 45
Event: time 1778628393.473803, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 46
Event: time 1778628393.754645, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 52
Event: time 1778628393.754645, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 35
Event: time 1778628394.057329, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 43
Event: time 1778628394.057329, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 32
