Event: time 1778628309.796464, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 730
Event: time 1778628309.914825, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 23
Event: time 1778628310.088262, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 40
Event: time 1778628310.088262, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 726
Event: time 1778628310.390570, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 32
Event: time 1778628310.390570, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 727
Event: time 1778628310.508564, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 30
Event: time 1778628310.693088, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 36
Event: time 1778628310.693088, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 734
Event: time 1778628310.995545, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 28
Event: time 1778628310.995545, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 742
Event: time 1778628311.287210, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 30
Event: time 1778628311.287210, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 748
Event: time 1778628311.589768, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 19
Event: time 1778628311.589768, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 736
Event: time 1778628311.881463, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 25
Event: time 1778628311.881463, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 741
Event: time 1778628312.173206, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 28
Event: time 1778628312.173206, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 727
Event: time 1778628312.497046, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 20
Event: time 1778628312.497046, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 748
Event: time 1778628312.789184, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 25
Event: time 1778628312.789184, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 725
Event: time 1778628312.897179, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 23
Event: time 1778628312.907198, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 20
Event: time 1778628312.907198, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 730
Event: time 1778628313.080703, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 24
Event: time 1778628313.080703, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 755
Event: time 1778628313.372358, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 34
Event: time 1778628313.372358, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 740
Event: time 1778628313.664047, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 23
Event: time 1778628313.664047, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 739
Event: time 1778628313.955727, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 27
Event: time 1778628313.955727, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 722
Event: time 1778628314.063740, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 25
Event: time 1778628314.063740, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 723
