Event: time 1778628223.167478, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 404
Event: time 1778628223.167478, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 68
Event: time 1778628223.167478, type 3 (EV_ABS), code 0 (ABS_X), value 404
Event: time 1778628223.167478, type 3 (EV_ABS), code 1 (ABS_Y), value 68
Event: time 1778628223.416231, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 407
Event: time 1778628223.416231, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 64
Event: time 1778628223.416231, type 3 (EV_ABS), code 0 (ABS_X), value 407
Event: time 1778628223.416231, type 3 (EV_ABS), code 1 (ABS_Y), value 64
Event: time 1778628223.663972, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 403
Event: time 1778628223.663972, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 71
Event: time 1778628223.663972, type 3 (EV_ABS), code 0 (ABS_X), value 403
Event: time 1778628223.663972, type 3 (EV_ABS), code 1 (ABS_Y), value 71
Event: time 1778628223.902570, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 405
Event: time 1778628223.902570, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 75
Event: time 1778628223.902570, type 3 (EV_ABS), code 0 (ABS_X), value 405
Event: time 1778628223.902570, type 3 (EV_ABS), code 1 (ABS_Y), value 75
Event: time 1778628224.140582, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 416
Event: time 1778628224.140582, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 70
Event: time 1778628224.140582, type 3 (EV_ABS), code 0 (ABS_X), value 416
Event: time 1778628224.140582, type 3 (EV_ABS), code 1 (ABS_Y), value 70
Event: time 1778628224.410871, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 410
Event: time 1778628224.410871, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 66
Event: time 1778628224.410871, type 3 (EV_ABS), code 0 (ABS_X), value 410
Event: time 1778628224.410871, type 3 (EV_ABS), code 1 (ABS_Y), value 66
Event: time 1778628224.658929, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 426
Event: time 1778628224.658929, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 90
Event: time 1778628224.658929, type 3 (EV_ABS), code 0 (ABS_X), value 426
Event: time 1778628224.658929, type 3 (EV_ABS), code 1 (ABS_Y), value 90
Event: time 1778628224.929784, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 400
Event: time 1778628224.929784, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 61
Event: time 1778628224.929784, type 3 (EV_ABS), code 0 (ABS_X), value 400
Event: time 1778628224.929784, type 3 (EV_ABS), code 1 (ABS_Y), value 61
Event: time 1778628225.178412, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 410
Event: time 1778628225.178412, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 88
Event: time 1778628225.178412, type 3 (EV_ABS), code 0 (ABS_X), value 410
Event: time 1778628225.178412, type 3 (EV_ABS), code 1 (ABS_Y), value 88
Event: time 1778628225.426783, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 381
Event: time 1778628225.426783, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 77
Event: time 1778628225.426783, type 3 (EV_ABS), code 0 (ABS_X), value 381
Event: time 1778628225.426783, type 3 (EV_ABS), code 1 (ABS_Y), value 77
Event: time 1778628225.654152, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 382
Event: time 1778628225.654152, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 84
Event: time 1778628225.654152, type 3 (EV_ABS), code 0 (ABS_X), value 382
Event: time 1778628225.654152, type 3 (EV_ABS), code 1 (ABS_Y), value 84
Event: time 1778628225.902764, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 394
Event: time 1778628225.902764, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 76
Event: time 1778628225.902764, type 3 (EV_ABS), code 0 (ABS_X), value 394
Event: time 1778628225.902764, type 3 (EV_ABS), code 1 (ABS_Y), value 76
Event: time 1778628226.140602, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 396
Event: time 1778628226.140602, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 82
Event: time 1778628226.140602, type 3 (EV_ABS), code 0 (ABS_X), value 396
Event: time 1778628226.140602, type 3 (EV_ABS), code 1 (ABS_Y), value 82
Event: time 1778628226.389262, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 400
Event: time 1778628226.389262, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 80
Event: time 1778628226.389262, type 3 (EV_ABS), code 0 (ABS_X), value 400
