Event: time 1778628265.899135, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 412
Event: time 1778628265.899135, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 747
Event: time 1778628266.158412, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 419
Event: time 1778628266.158412, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 748
Event: time 1778628266.439329, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 434
Event: time 1778628266.439329, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 770
Event: time 1778628266.731043, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 399
Event: time 1778628266.731043, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 746
Event: time 1778628266.979673, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 392
Event: time 1778628266.979673, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 751
Event: time 1778628267.217213, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 429
Event: time 1778628267.217213, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 780
Event: time 1778628267.454926, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 404
Event: time 1778628267.454926, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 758
Event: time 1778628267.703381, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 421
Event: time 1778628267.703381, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 759
Event: time 1778628267.950862, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 418
Event: time 1778628267.950862, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 746
Event: time 1778628268.200506, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 396
Event: time 1778628268.200506, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 736
Event: time 1778628268.438175, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 401
Event: time 1778628268.438175, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 748
Event: time 1778628268.686728, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 394
Event: time 1778628268.686728, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 739
Event: time 1778628268.935217, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 390
Event: time 1778628269.183734, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 408
Event: time 1778628269.183734, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 758
Event: time 1778628269.464718, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 399
Event: time 1778628269.464718, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 750
Event: time 1778628269.713365, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 756
Event: time 1778628269.961974, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 412
Event: time 1778628269.961974, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 748
Event: time 1778628270.221019, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 410
Event: time 1778628270.221019, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 762
Event: time 1778628270.480377, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 392
Event: time 1778628270.480377, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 745
Event: time 1778628270.707255, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 412
Event: time 1778628270.707255, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 755
Event: time 1778628270.966631, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 411
Event: time 1778628270.966631, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 746
Event: time 1778628271.236738, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 404
Event: time 1778628271.236738, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 752
Event: time 1778628271.495963, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 392
Event: time 1778628271.495963, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 733
Event: time 1778628271.755418, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 373
Event: time 1778628271.755418, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 714
Event: time 1778628272.014724, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 386
Event: time 1778628272.014724, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 722
Event: time 1778628272.306504, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 409
Event: time 1778628272.306504, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 735
Event: time 1778628272.609039, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 413
Event: time 1778628272.609039, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 750
